Disease Name,Pet affected,Related Diseases,Symptoms,Predisposed Breeds,Risk Factors,Diagnosis Method,Cause,General Treatment,Medical Treatment, Surgical Treatment,Average Hospital Stay,Preventative Measures,Prognosis,
Hypoglycemia,Toy Breed Dog,Not Known,"Symptoms include listlessness, incoordination, loss of consciousness, seizures, coughing, diarrhea, vomiting, appetite loss, delayed teething, and difficulty maintaining body temperature.","Chihuahua, Yorkshire Terrier, Maltese, Toy Poodle, Pomeranian, and others",Not Known,"Clinical examination, blood sugar level testing","Reduced food intake, difficulty chewing hard food, reduced body fat stores, reduced warmth, and high sensitivity to stress.",- Offering delicious food - Administering Nutrical supplement - Rubbing small amount of Karo syrup on the gums - Intravenous dextrose infusion in severe cases,"Antibiotics for bacterial infections, surgery for liver shunt in Yorkshire Terriers, treatment for stress-related factors",Surgery may be necessary to correct liver shunt in Yorkshire Terriers,A few days (anticipated),"Feeding soft puppy foods, maintaining warmth, regular veterinary check-ups, deworming, avoiding stress, monitoring for symptoms, providing Nutrical supplement when needed","Most puppies recover with prompt treatment, but the condition requires vigilant care and monitoring in toy breed puppies.",
Hypothyroidism,Dog,Not Known,"Symptoms include easily fatigued, increased sleep, dull attitude, seeking warm areas, puffiness or overweight appearance, thickened skin, dry and dull hair coat, sparse hair, darkened skin, skin infections, poor wound healing, and internal health problems.",Not Known,Not Known,"Blood tests (total T4, free T4, TSH, or TSH stimulation)",Decreased thyroid hormone production by the thyroid glands,Oral thyroid hormone supplementation,Not Known,Not Known,Not Known,Not Known,Regular blood tests for hormone levels required for lifelong treatment,
Immune-Mediated Hemolytic Anemia (IMHA),Dogs and Cats,Not Known,"Severe anemia, jaundice, pale gums, change in urine color, lack of energy, fever","Cocker Spaniels, Poodles, Old English SheepDogs, Irish Setters",Not Known,"Blood tests, including Coomb's test, autoagglutination test","The body's immune system attacks its own red blood cells, leading to severe anemia and life-threatening complications","Supportive care, blood transfusions","Corticosteroids, azathioprine, other immune-suppressive drugs",Not Known,Not Known,No definitive preventative measures; underlying cause investigation may be helpful,"Prognosis depends on the severity of the case, with a 20-80% mortality rate reported; relapse rate of 11-15% for Dogs; survival enhanced by additional medications and supportive care",
Immune-Mediated Thrombocytopenia (IMT),Dog,"Immune-mediated hemolytic anemia, Lupus","Spontaneous bruising, petechiae, ecchymosis, bleeding from gums, nose, rectum or in urine","Poodles, Cocker Spaniels, Old English SheepDogs",Not Known,"Blood tests including platelet count, clotting parameters, and general metabolic blood tests","Immune system mistaking platelets for invaders, leading to antibody coating and removal by spleen phagocytes","Immune suppression using corticosteroids (Prednisolone, Prednisone, Dexamethasone)","Vincristine (mildly immune-suppressive, stimulates platelet release), Azathioprine, Cyclophosphamide, Mycophenolate (additional immune-suppressive agents)",Splenectomy (removal of spleen),Not Known,Not Known,"70-90% recovery rate, recurrence in approximately 30% of cases, may require long-term therapy and monitoring",
Inflammatory Bowel Disease,Dogs and Cats,Intestinal lymphoma,"Chronic vomiting, diarrhea, weight loss, mucous diarrhea with fresh blood (colitis), poor appetite",Not Known,"Parasites, bacterial toxins, digested food proteins","Metabolic database, fecal testing, broad-spectrum deworming, ultrasound, biopsy (surgery or endoscopy)","Defect in bowel barrier function, leading to infiltration of inflammatory cells into GI tract","Food-responsive, antibiotic-responsive, steroid-responsive diets","Hydrolyzed protein diets, novel protein diets, antibiotics (metronidazole, tylosin), corticosteroids (prednisolone, dexamethasone)","Surgery (biopsy), endoscopy (biopsy)",Not Known,Not Known,"Depends on patient stability, response to treatment, potential complications, and underlying conditions; biopsy confirmation may be necessary for accurate diagnosis and treatment planning.",
Influenza Strains in Dogs,Dog,Not Known,"Cough, lethargy, reduced appetite, fever, sneezing, discharge from eyes/nose, pneumonia",Not Known,"Direct contact with respiratory secretions, droplets, aerosols","Swabbing nose or throat, PCR testing",Influenza A virus strains,"Supportive care, medications for cough, antibiotics for secondary bacterial pneumonia, diagnostic testing",Not Known,Not Known,Not Known,"Vaccination, limit exposure to infected Dogs, avoid places where Dogs gather, keep sick Dogs away from other Dogs","Depends on severity of disease, most Dogs recover in two to three weeks, severe cases may require hospitalization and supportive care. Fatal cases rare, fatality rate less than 1-2 percent.",
Insulinoma,Dogs and Cats,Not Known,"Severe hypoglycemia (leading to seizures), Listlessness, Trembling, Ataxia (wobbly gait), Reduced mental awareness",Not Known,Not Known,"Basic blood panel, Resting cortisol level, ACTH stimulation test, Insulin level, Bile acids liver function test",Unknown,"Hospitalization, Intravenous fluid therapy, Frequent small meals, Diazoxide, Corticosteroids, Sugar supplements","Diazoxide, Corticosteroids, Prednisone, Dexamethasone, Nutritional support, Sugar supplements","Surgical removal of insulinoma, Partial pancreas removal",Not Known,Not Known,"Guarded to fair, depends on tumor stage and response to treatment.",
Interdigital Cysts,Dogs,"Demodicosis, skin cancers, fungal infections","Large bumps or nodules between a Dog’s toes, red nodules filled with blood and/or pus, limping, licking or chewing at paws","English bullDogs, Great Danes, Basset hounds, mastiffs, bull terriers, boxers, Labrador retrievers, German shepherds, Pekingese","Short and coarse hair coats, wider paws, obesity, difficulty walking, itching behavior, skin trauma from cages or rough ground","Skin samples, skin culture (bacterial culture and sensitivity)","Irritation or injury to the hairy skin of the paws, plugged or dilated hair follicles leading to inflamed and ruptured follicles, skin infections","Antibiotics, anti-bacterial shampoos, anti-inflammatory medication, protective footwear","Antibiotics, anti-bacterial shampoos, anti-inflammatory medication","Surgical procedures, protective footwear",Not Known,"Diagnosing and treating underlying causes, maintaining healthy weight, preventing skin trauma","Guarded to fair, depends on underlying causes and response to treatment.",
Intervertebral Disk Disease (IVDD),Dogs,"Vertebral fractures, dislocations, tumors, disk infection, inflammation, demyelination injuries, fibrocartilaginous embolism","Pain over the area of disk involvement, loss of conscious proprioception, loss of voluntary motion, loss of superficial and deep pain perception, scuffing toes, walking on tops of feet, paralysis, urinary/fecal incontinence, weakness, lameness, reluctance to move, crying or fussing","Dachshunds, German shepherds, beagles, poodles","Long-backed Dogs with short legs (e.g., Dachshunds), older large breed Dogs (e.g., German shepherds), any Dog breed may be affected","Neurologic examination, plain radiographs, advanced imaging (e.g., myelography, CT scanning, MRI imaging)","Type I: Nucleus pulposus becomes calcified and shoots out, Type II: Annulus fibrosus collapses and protrudes upwards, slower degenerative process, disk material impinges on spinal cord and nerves","Conservative: Confinement, medication (steroids, NSAIDs, muscle relaxants, pain relievers), ice packing, physical therapy exercises","Conservative: Steroids, NSAIDs, muscle relaxants, pain relievers, ice packing","Hemilaminectomy, pediculectomy, dorsal laminectomy, ventral slot, fenestration",Not Known,"Proper confinement, avoiding jumping and strenuous activities, physical therapy exercises, prompt medical attention for symptoms","Depends on severity, duration, and response to treatment; surgery may yield better outcomes for Dogs with loss of ability to walk. Physical therapy can significantly improve patient comfort and ability to recover.",
Intestinal Lymphangiectasia (Protein-losing Enteropathy),Dogs,"Inflammatory bowel disease, Histoplasmosis, Diseases associated with intestinal bleeding (parvovirus, intestinal parasites, cancers such as lymphoma), Breed-associated PLE (e.g., soft-coated wheaten terrier, shar pei, Maltese, basenji), Crypt disease","Weight loss, chronic diarrhea, vomiting, fluid accumulation in the abdomen, edema (swelling)",Small terrier breeds (especially Yorkshire terriers),"Inflammation in the intestine, certain infections, intestinal bleeding, genetic predisposition","Low lymphocyte count, low cholesterol, low albumin level","Inflammation causing pressure on lymph vessels, lacteals bursting, loss of nutrients, proteins, and cells into intestinal tract","Address underlying cause, anti-inflammatories (e.g., prednisolone, cyclosporine), anti-clotting medications (e.g., aspirin, clopiDogrel), digestible high-protein diet, fat restriction, injectable vitamin supplements, vitamin D3 supplementation","Prednisolone, cyclosporine, anti-clotting medications, digestible high-protein diet, fat restriction, injectable vitamin supplements, vitamin D3 supplementation",Not applicable,Not known,"Address underlying conditions, proper nutrition, regular veterinary check-ups","Variable survival rates; prognosis depends on the underlying condition and response to treatment; unlikely to be cured, but can be managed",
Iris Coloboma,Dogs and Cats,Not Known,"Sensitivity to light, squinting",Australian Shepherds,Genetic,"Eye examination (pre and post dilation), Companion Animal Eye Registry (CAER) exam","Congenital, genetic","Dog goggles (Doggles®) to reduce squinting, avoid breeding affected animals",Not Known,Not Known,Not Known,"Avoid breeding affected animals, ask for CERF rating from parents when getting a purebred puppy from predisposed breeds","Good, coloboma itself not a problem, but associated problems can cause vision issues",
Irritable Bowel Syndrome (IBS),Dogs,Inflammatory Bowel Disease (IBD),"Gooey, mucous diarrhea, straining to pass stool, cramping, urgency to defecate",Not Known,"Chronic anxiety, stress","Medical history, physical examination, blood tests, fecal examination, imaging tests, biopsy",Psychosomatic disease,"Increase dietary fiber, tranquilizers, antispasmodics, general anti-diarrhea medications, calming supplements, pheromone products, cannabinoids (if legal)","Amitriptyline, clomipramine, fluoxetine, anti-anxiety medications, supplements, pheromone products",Not Known,Not Known,"Avoiding inconsistent scheduling, environmental changes, consulting a veterinarian if symptoms persist","Good, if no physical cause is found after medical workup for large bowel diarrhea",
Kennel Cough,Dogs,Pneumonia,"Harsh, hacking cough, frequent fits of coughing, active otherwise, may progress to pneumonia",Not Known,"Crowded housing, poor ventilation","Medical history, physical examination, radiographs, PCR panels (polymerase chain reaction)","Bordetella bronchiseptica, Parainfluenza virus, Adenovirus type 2, Canine distemper virus, Canine influenza virus, Canine herpesvirus, Mycoplasma canis, Canine reovirus, Canine respiratory coronavirus","Cough suppressants, antibiotics (for preventing or curtailing pneumonia), supportive care if pneumonia develops",Not Known,Not Known,Not Known,"Vaccination for Bordetella bronchiseptica, canine adenovirus type 2, canine parainfluenza virus, canine distemper, and canine influenza; avoiding crowded environments, suboptimal ventilation","Good, generally self-limiting; complications include progression to pneumonia or underlying conditions if symptoms persist",
Kidney Dialysis,Dogs and Cats,Kidney Failure,"Uremia, toxin build-up, appetite loss, malnutrition, nausea, metabolic bone disease, carnitine deficiency, taurine deficiency, problems with dialysis catheter",Not Known,Kidney failure,"Blood tests, urine tests, imaging studies","Kidney failure, inability to remove toxins from the blood",Cleansing blood of toxins using dialysis machine,"Medications, supplementation",Surgery to place dialysis catheter,Several hours (per session),Not Known,Varies,
Laryngeal Paralysis,Dogs,Neurologic weakness,"Excess panting, exercise intolerance, voice change, raspy breathing sounds, respiratory gasping or distress","Labrador Retriever, Bouvier des Flandres, Siberian Husky, Great Pyrenees, Bull Terrier, Dalmatian","Aging, genetic predisposition","Larynx examination under sedation, chest radiographs, complete blood testing including thyroid tests","Neurologic weakness affecting the muscles of the larynx, leading to paralysis","Reduce activity, switch from collar to harness, tranquilizers or anti-anxiety medications","Antibiotics, fluid therapy","Laryngeal Tieback, Partial Arytenoidectomy, Ventriculocordectomy, Castellation",2-3 weeks,No swimming,Varies,
Lateral Ear Resection (Zepp and Lacroix Procedures),Dogs,"Middle ear infection, inner ear tumors","Chronic ear infections, difficulty in draining infectious debris and wax, recurrent ear growths, narrowing of the ear canal","Cocker Spaniel, other breeds","Middle or inner ear problems, ear growths, narrow ear canal",Visual examination of the ear canal under sedation,Removal of part of the vertical ear canal to create a more accessible and ventilated ear opening,Topical and oral medication for infection,"Antibiotics, antifungals, anti-inflammatory drugs","Elizabethan collar to protect incisions from scratching, revision surgery for complications",10-14 days,"Regular ear cleaning, addressing underlying issues",Varies,
Leptospirosis,Dogs and cats,Not Known,"Fever, vomiting, abdominal pain, diarrhea, refusal to eat, severe weakness and depression, stiffness, severe muscle pain, inability to have puppies (in female Dogs)",Not Known,"Exposure to contaminated urine, water, or soil; contact with infected animals; drinking contaminated water","Veterinary examination, blood tests, urine tests",Bacterial infection from Leptospira bacteria,"Supportive care, antibiotics","Antibiotics, hydration therapy, dialysis",Not applicable,Varies,"Vaccination, rodent control, wearing protective clothing when handling infected animals or urine, practicing good hygiene","Good with early treatment, may recover more rapidly and experience less severe organ damage; vaccination provides some protection but does not guarantee immunity",
Lice in Dogs and Cats,Dogs and Cats,Not Known,"Severe itching, scruffy dry coat with bald patches, lice congregating around the ears, neck, shoulders, and anus",Not Known,"Direct contact with infested animals, contact with nit-contaminated grooming equipment, bedding, etc.",Visual inspection by a veterinarian,Not Known,"Insecticide shampoo, insecticide spray or powder, fipronil, selamectin, isoxazoline products, repeated treatments may be necessary",Antibiotics may be needed for secondary infections,Not applicable,Varies,"Clean grooming equipment, dispose of or wash bedding, environmental control measures if necessary (e.g., foggers)",Generally good with appropriate treatment,
Lick Granuloma in Dogs,Dogs,Not Known,"Hair discoloration, hair loss, skin sores, hyperplasia, fibrosis, lameness caused by the mass, growth of underlying bone, solitary lesions (usually on front and sides of lower legs but can occur on more than one limb), rare occurrence in the flank or at the base of the tail","Doberman Pinscher, German Shepherd, Golden Retriever","Atopy, Boredom, Flea bite sensitivity, Food allergy, Hypersensitivity, Cancer, Emotional/behavioral problems, Staphylococcal furunculosis, Wounds, Joint pain","Physical examination, skin cell examination, biopsy/histopathology, radiographic examination, skin culture","Atopy (atopic dermatitis), Boredom, Flea bite sensitivity, Food allergy, Hypersensitivity, Cancer, Emotional/behavioral problems, Staphylococcal furunculosis, Wounds, Joint pain","Treating physical cause(s), identifying and correcting mental or emotional causes, drug treatment options, surgical removal of lesion, radiation therapy, prevention of licking, acupuncture, laser therapy","Sedatives/tranquilizers, endorphin blockers, corticosteroids, antidepressants, antibiotics, pentoxifylline","Surgical removal of the lesion, prevention of licking (bandages on the lesion, application of bad-tasting substances, e-collars, etc.)",Varies,"Increase human contact, change kenneling habits, provide other animal companionship, distract with chew toys, etc.","Fair, treatment can take months, difficult to control, owner compliance and dedication are vital to resolving the problem",
Linear Foreign Bodies in Cats,Cats,Not Known,"Poor appetite, vomiting, listlessness, abdominal pain, possible palpable foreign body, signs of peritonitis (in advanced cases)",Not Known,"Swallowing objects, especially string or linear structures","Physical examination, radiographic examination, ultrasound","Swallowing foreign objects, especially string or linear structures","Stabilization, rehydration, surgical exploration, removal of foreign body, possible bowel resection",Not Known,"Removal of foreign body, possible bowel resection",Several days,Not Known,"Fair, early surgery is critical",
Linear Foreign Bodies in Dogs,Dogs,Not Known,"Poor appetite, vomiting, listlessness, abdominal pain, possible palpable foreign body, signs of peritonitis (in advanced cases)",Not Known,"Swallowing objects, especially string or linear structures","Physical examination, radiographic examination, ultrasound","Swallowing foreign objects, especially string or linear structures","Stabilization, rehydration, surgical exploration, removal of foreign body, possible bowel resection",Not Known,"Removal of foreign body, possible bowel resection",Several days,Not Known,"Fair, early surgery is critical",
Lipomas in Dogs and Cats,Dogs and Cats,Not Known,"Presence of a lump under the skin, usually rubbery and relatively soft texture",Not Known,"Overweight, older age","Physical examination, needle aspirate, biopsy",Benign growth of fat cells,"Surgical removal if necessary for cosmetic reasons or if the mass interferes with movement; otherwise, observation may be sufficient",Not Known,Surgical removal if necessary; may require wide excision in case of infiltrative or malignant forms,Not applicable,Not Known,Generally good; may recur in infiltrative or malignant forms,
Lithotripsy in Dogs and Cats,Dogs and Cats,Not Known,"Presence of urinary stones; pain, difficulty urinating, blood in urine",Not Known,Not Known,"Physical examination, imaging tests (X-rays, ultrasound)",Formation of urinary stones,Intracorporeal laser lithotripsy: breaking stones into fragments using laser; Extracorporeal shock wave lithotripsy: focusing shock waves on stones to break them,Not Known,Surgical removal,Varies depending on procedure,Not Known,Varies depending on procedure; generally good,
Liver Enzymes in Dogs,Dogs,"Liver diseases, pancreatitis, intestinal diseases","Elevated liver enzymes, decreased appetite, vomiting, diarrhea, neurologic signs, abdominal distention, jaundice (yellow discoloration of gums, eyes, skin, etc.)","Labrador Retriever, Bedlington Terrier, West Highland White Terrier, Doberman Pinscher, Shetland SheepDog, Cocker Spaniel","Liver disease, pancreatitis, intestinal disease, Cushing's disease, diabetes, medications such as steroids or phenobarbital","Blood tests (ALT, ALP, bile acids, bilirubin), abdominal ultrasound, liver biopsy","Liver disease, pancreatitis, intestinal disease, medications","Antibiotics, antioxidants (e.g., vitamin E, Denamarin), ursodiol","Therapeutic antibiotics, antioxidants (e.g., vitamin E, Denamarin), ursodiol","Liver biopsy (needle biopsy instrument, laparoscope, surgery)",Varies,Not Known,Varies depending on the underlying cause,
Liver Tumors and Cancers,Dogs and Cats,Metastatic cancer,"Varies depending on the tumor type; includes decreased appetite, vomiting, diarrhea, abdominal distention, jaundice, neurologic signs, and more",Not specified,"Liver disease, pancreatitis, intestinal disease, Cushing's disease, diabetes, medications such as steroids or phenobarbital","Blood tests (ALT, ALP, bile acids, bilirubin), abdominal ultrasound, liver biopsy","Primary tumors, metastatic spread","Surgery, chemotherapy, ultrasound-guided therapies, palliative care","Antibiotics, antioxidants, ursodiol","Liver biopsy, tumor removal, chemotherapy, ultrasound-guided therapies",Varies,Not Known,Varies depending on the tumor type and extent of the disease,
Localized Demodectic Mange,Dogs,"Generalized demodicosis, Pododermatitis","- Isolated scaly bald patches, usually on the Dog's face, creating a polka-dot appearance. - May occur in other body regions but no more than two body regions and no more than four spots total on the Dog. - Occasionally, enlargement of lymph nodes which may indicate progression to generalized demodicosis.",Not specified,- Suppression of the Dog's immune system - Family history of demodicosis in related Dogs,"Clinical signs, skin scrapings for mites observation under microscope",Infestation of Demodex canis mites,"- Flea control products containing isoxazoline class (Simparica®, Nexgard®, Credelio®, Bravecto®) - Goodwinol ointment - Antibacterial gels",Not specified,Not specified,Not specified,Not specified,"90% chance of spontaneous resolution, unless there is a family history of demodicosis in related Dogs, in which case the chance drops to 50%.",
Lung Cancer,Dogs and Cats,Secondary lung cancer,- Poor appetite - Acting tired - Coughing - Trouble breathing - Loud snore-like breathing while awake - Possibly coughing up blood,Not specified,- Cancer elsewhere in the body,"Thorough physical examination, x-rays (radiographs), bloodwork, possible biopsy or aspirate of lung tumor",Tumors or masses made up of cancer cells within the lungs,"- Surgical removal of the tumor, potentially involving removal of entire lung - Chemotherapy - Radiation therapy - Supportive or palliative care therapies",Not specified,Potentially removal of entire lung or lobe,Not specified,Not specified,"Outcome may vary depending on treatment and individual response. Some pets may survive for months with supportive care, while others may succumb within two to three weeks from diagnosis.",
Lupoid Onychodystrophy,Dogs,"Bacterial and yeast infections, ringworm, cancer","- Splitting or cracking toenails - Brittle, thick, or deformed toenails - Toenails falling off, leaving the nailbed exposed - Misshapen nails - Excessive licking of toes and paws - Trouble walking",Gordon Setters German Shepherd Dogs,"Immune-mediated disorder, possibly inherited",- Physical examination - Presumptive diagnosis based on symptoms - Biopsy of the nailbed - Culture of affected claws - Microscopic examination of nailbed cells - X-rays of the toe bones,"Triggered by an overactive immune system, possibly inherited from parents","- Combination of fatty acids, vitamin E, niacinamide, tetracycline, pentoxifylline - Immunosuppressive medications (e.g. cyclosporine, prednisone)",Adjustments may be needed several times; treatment usually needed lifelong,Not specified,Not specified,Not specified,Improvement of symptoms can take 6-12 weeks; treatments may need to be adjusted multiple times.,
Lyme Disease,Dogs,Lyme nephritis,"- Joint pain - Fever - Rarely, glomerular disease (Lyme nephritis)",Not specified,Tick bites,"- Antibody tests (e.g., C6 Antibody test) - Clinical diagnosis based on symptoms",Borrelia burgdorferi spirochete transmitted by tick bites,"- Antibiotics (e.g., doxycycline, minocycline, amoxicillin) for 2-4 weeks - Treatments to reduce protein loss in urine - Immunosuppressive therapy (for Lyme nephritis) if needed",- Not specified,Not specified,Not specified,- Tick control (using tick-controlling products) - Vaccination - Avoidance of tick-infested areas - Tick removal within 48 hours of attachment,Improvement typically seen within 48 hours of antibiotic treatment; long-term prognosis varies depending on the presence of complications such as Lyme nephritis.,
Lyme Nephritis,Dogs,Glomerular disease,- Protein loss in urine - Renal dysfunction,Not specified,Tick bites,- Urine protein to creatinine ratio test,Borrelia burgdorferi spirochete transmitted by tick bites; immune response leading to kidney damage,"- Antibiotics (e.g., doxycycline) - Treatments to reduce protein loss in urine - Immunosuppressive therapy (if needed)",- Not specified,Not specified,Not specified,- Tick control (using tick-controlling products) - Regular screening for protein loss in urine for Dogs testing positive for Borrelia burgdorferi antibodies,Varies; can be severe and require long-term management and monitoring.,
Lymphocytic Leukemia in Dogs,Dog,None known,"Listlessness, poor appetite, nausea, diarrhea, weight loss","Golden Retrievers, German Shepherds, Boxers",Unknown,"Lymphocyte count, blood tests, bone marrow biopsy",Unknown,Supportive care,"Chemotherapy (prednisone, vincristine, cyclophosphamide, L-asparaginase, doxorubicin)",Blood transfusions,Varies,Unknown,"Varies (poor for Acute Lymphocytic Leukemia, long for Chronic Lymphocytic Leukemia)",
Lymphoma,Dogs and Cats,None known,"Enlarged lymph nodes, lethargy, weakness, weight loss, anorexia",None known,None known,"Biopsy, imaging tests, blood tests",Unknown,"Supportive care, chemotherapy",Chemotherapy,None,Varies,None known,"Without treatment, animals with lymphoma are expected to live 4-8 weeks from the time of diagnosis. Response to treatment varies based on stage and substaging.",
Malassezia Dermatitis,Dog,None known,"Itchy, crusty, smelly skin; thickened skin with an elephant-like appearance","West Highland White Terrier, Basset Hound, Cocker Spaniel, Silky Terrier, Australian Terrier, Maltese, Chihuahua, Poodle, Shetland SheepDog, Lhasa Apso, Dachshund","Increase in skin oils, immune deficiency, seborrhea, allergic to yeasts, genetic predisposition to yeast infections","Impression smear, Scotch tape sampling, Skin scraping with a blade, Cotton swab, Skin biopsy",Overgrowth of Malassezia yeast population on the skin,"Topical and oral antifungal medications, ketoconazole, terbinafine","2% miconazole and 2% chlorhexidine shampoos, vinegar-based shampoos, selenium and/or topical ketoconazole shampoos",Acetic acid wipes for spot treatments,Varies,"Control underlying conditions such as allergies, seborrhea, or other predisposing factors","With proper treatment and control of underlying conditions, prognosis is good; recurrent infections may occur if underlying problems are not addressed effectively.",
Malassezia Otitis,Dogs and Cats,None known,"Increased ear wax and discharge, odor, head shaking, swollen or ulcerated ear flap, hair loss",None,"Increased fatty secretions, moisture, allergies, narrowed ear canals","Veterinarian's exam, Cytology",Overgrowth of Malassezia yeast population in the ear canal,"Cleaning the ear, topical antifungals",Varies,None,Varies,Identify and treat underlying causes such as allergies or narrowed ear canals to prevent recurrence of ear infections.,"With proper treatment and prevention of underlying causes, prognosis is good; recurrent infections can occur if underlying issues are not addressed effectively.",
Malassezia Otitis,Dogs and Cats,None known,"Itchy, painful ears, loss of hearing, increased pigmentation of ears, aural hematomas",None,"Increased fatty secretions, moisture, allergies, narrowed ear canals","Veterinarian's exam, Cytology",Overgrowth of Malassezia yeast population in the ear canal,"Cleaning the ear, topical antifungals",Varies,None,Varies,Identify and treat underlying causes such as allergies or narrowed ear canals to prevent recurrence of ear infections.,"With proper treatment and prevention of underlying causes, prognosis is good; recurrent infections can occur if underlying issues are not addressed effectively.",
Malignant Melanoma,Dogs and Cats,None known,"Pigmented growths, local destruction in the mouth (oral melanoma), pain, blindness, increased eye pressure (glaucoma), vision loss (uveal/iris melanoma), flat dark spots on the iris (iris melanosis), bulging growths on the iris (iris melanoma)",None,Unknown,"Biopsy, Imaging (X-ray, ultrasound)",Abnormal growth of melanocytes (cells producing melanin pigment),"Surgery, radiotherapy","Chemotherapy, Immunotherapy","Surgery (enucleation), laser therapy, cryosurgery (for epibulbar melanoma)",Varies,"Regular evaluation by a specialist, vaccination (for Stage II and III oral melanoma)","Depends on the stage of the disease, location, and response to treatment.",
Malignant Melanoma,Dogs and Cats,None known,"Pigmented growths, local destruction in the mouth (oral melanoma), pain, blindness, increased eye pressure (glaucoma), vision loss (uveal/iris melanoma), flat dark spots on the iris (iris melanosis), bulging growths on the iris (iris melanoma)",None,Unknown,"Biopsy, Imaging (X-ray, ultrasound)",Abnormal growth of melanocytes (cells producing melanin pigment),"Surgery, radiotherapy","Chemotherapy, Immunotherapy","Surgery (enucleation), laser therapy, cryosurgery (for epibulbar melanoma)",Varies,"Regular evaluation by a specialist, vaccination (for Stage II and III oral melanoma)","Depends on the stage of the disease, location, and response to treatment.",
Malignant Thyroid Tumors,Dog,None known,"Lump around the throat, altered voice, difficulty swallowing, moveable lump, deeply adhered lump, average age at detection around nine years, no gender predilection, potential breeds predisposition (Boxer, Beagle, Golden Retriever)","Boxer, Beagle, Golden Retriever",Unknown,"Physical examination, T4 level, chest radiographs, ultrasound, scintigraphy, MRI",Unknown,"Surgery, external beam radiation therapy, radioiodine therapy",Chemotherapy,Depends on tumor size,Varies,Unknown,"Depends on tumor invasiveness, spread, and response to treatment.",
Malignant Thyroid Tumors,Cat,Hyperthyroidism,"Lump around the throat, altered voice, difficulty swallowing, moveable lump, deeply adhered lump, average age at detection around nine years, no gender predilection",None known,Unknown,"Physical examination, T4 level, chest radiographs, ultrasound, scintigraphy, MRI",Unknown,Radiotherapy,Chemotherapy,Surgery,Varies,Unknown,"Depends on tumor invasiveness, spread, and response to treatment.",
Mammary Tumors,Dog,None known,"Lump in mammary gland area, especially towards the rear legs; typically diagnosed in Dogs aged nine to 11 years; conscientious checking starting at age six years",None known,Unspayed female Dogs; breeding before spaying; age,"Physical examination, fine needle aspirate, radiography",Female hormones,Spaying; surgery to remove tumor; radiation therapy; chemotherapy,None,Depends on tumor size,Varies,"Spaying before first heat cycle greatly reduces risk; spaying at the time of tumor removal or before increases survival; other factors affecting prognosis include tumor type, size, evidence of spread, depth, ulceration, growth rate, and completeness of removal.",Not Known,
Mast Cell Tumors,Dogs and Cats,Not Known,"Local redness, itch, swelling; growths suddenly larger then smaller (Darier's sign)","Boxer, Rhodesian Ridgeback, Pug, Boston Terrier, Pit Bull Terrier, Weimaraner, Shar-pei",Not Known,"Needle aspirate, tissue biopsy",Exposure to antigens similar to parasitic antigens,"Surgery, radiation therapy, chemotherapy","Vinblastine, lomustine, toceranib phosphate, corticosteroids","Surgery for localized disease, splenectomy for internal involvement",Not Known,Not Known,Varies depending on grade and stage,
Masticatory Myositis,Dog,Not Known,Pain when opening mouth or chewing; trismus (inability to open mouth),"German Shepherds, Labrador Retrievers, Doberman Pinschers, Golden Retrievers, Cavalier King Charles Spaniels",Not Known,"Blood test, muscle biopsy",Immune system attacks 2M muscle fibers of masticatory muscles,High doses of corticosteroids (prednisone or dexamethasone),"Azathioprine, cyclosporine",Surgery for end-stage disease,Not Known,Not Known,Better prognosis with early treatment; response varies depending on disease stage,
Medial Luxating Patella,Dog,Not Known,Little skip in Dog's step; running on three legs with one hind leg up; patella slipped medially,Toy breeds,Not Known,"Physical exam, X-ray",Luxation of patella from normal groove,Weight control; periodic anti-inflammatory medications for Grade I luxations; surgical repair for Grade 3 or 4 disease,Not Known,"Lateral Imbrication, Trochlear Modification, Tibial Crest Transposition, Ridgestop Implant",Not Known,Surgical repair for Grade 3 or 4 disease; weight control; periodic anti-inflammatory medications for Grade I luxations,Better prognosis with surgical intervention; severity of changes depends on luxation grade and duration; arthritis can develop over time,
Megaesophagus,Dog,"Myasthenia Gravis, Addison's Disease, Lead Poisoning, Polyneuropathy, Polymyopathy, certain parasites, severe inflammation (esophagitis)","Regurgitation, difficulty swallowing, coughing, aspiration pneumonia",None known,Congenital condition (rare); myasthenia gravis; Addison's disease; lead poisoning; polyneuropathy; polymyopathy,"Physical examination, diagnostic testing, endoscopy",Paralysis and enlargement of the esophagus,"Vertical feeding (Bailey chair), medication administration, feeding tubes, nebulization with albuterol, antibiotics for aspiration pneumonia, elevation during anesthesia, dental precautions",None,Varies,Varies,"Avoiding access to items that may be considered ""food"", vertical feeding, management techniques, regular veterinary check-ups, cautious experimentation with diet and medication","With appropriate management, Dogs can live fairly long, normal lives; resolution of megaesophagus occurs in about 15% of cases, usually if caused by another disorder; German shepherd puppies may outgrow it but it's rare.",
